№ п/п;Наименование центра питания;Класс напряжения, кВ;Установленная мощность, МВА
1;К.Городская;110000/6000;36
2;Рыбная;110000/35000/6000;20
3;Камышино;35000/6000;17,2
4;Калачево;110000/35000/6000;17,5
5;С.Копи;35000/6000;25,6
6;Ю.Копи;110000/35000/6000;63
7;Керамика;110000/10000;16
8;Пластмасс;110000/10000;32
9;Опытная;35000/6000;10,3
10;Синеглазово;110000/35000/6000;45
11;Октябрьская;110000/35000/6000;50
12;Зеленая;110000/6000;12,6
13;Птицефабрика;35000/6000;8
14;Коркинские разрезы;35000/6000;32
15;Коркино;110000/35000/6000;111,5
16;Первомайка;110000/6000;62,8
17;Чумляк;110000/35000/6000;32
18;Еманжелинка;110000/35000/6000;40
19;Сигнал;110000/6000;6,3
20;Батурино;110000/6000;17,5
21;Красногорка;110000/35000/6000;26
22;Сары;110000/10000;12,6
23;Еткуль;110000/35000/10000;120
24;Бектыш;110000/10000;12,6
25;Коелга;110000/6000;12,6
26;Ключи;110000/10000;20
27;Кирпичная;110000/6000;6,3
28;Шеломенцево;35000/10000;5
29;Каратабан;35000/10000;14
30;Печенкино;35000/10000;8
31;Селезян;35000/10000;5,6
32;Миасская;110000/10000;32
33;Лазурная;110000/35000/10000;26
34;Каясан;110000/10000;80
35;Теренкуль;35000/10000;2,5
36;Вахрушево;110000/10000;12,6
37;Мирная;35000/10000;8,8
38;Бродокалмак-35;35000/10000;3,6
39;Сугояк;35000/10000;3,2
40;Алабуга;35000/10000;5,6
41;Боровая;110000/10000;2,5
42;Русская Теча;35000/10000;2,5
43;Бродокалмак-110;110000/35000/10000;16
44;Дубровка;35000/10000;5
45;Березово;35000/10000;5
46;Шумово;110000/10000;12,6
47;Заварухино;110000/10000;50
48;Алишево;110000/10000;2,5
49;Бутаки;110000/10000;32
50;Томино;110000/10000;6,3
51;Харлуши;110000/10000;12,6
52;Полевая;110000/10000;32
53;Есаулка;110000/35000/10000;20
54;Долгая;35000/10000;9,2
55;Муслюмово;35000/10000;5,6
56;Кременкуль;110000/10000;10
57;Баландино;35000/10000;8,8
58;Кыштым;110000/35000/6000;40
59;Касли;110000/35000/10000;40
60;Слюдорудник;35000/10000;5
61;Гранкварц;110000/6000;26
62;Карабаш;110000/35000/10000/3000;33,1
63;Д.Дача;110000/6000;7,5
64;Пирит;110000/35000/10000;80
65;Тайгинка;110000/35000/10000;32
66;Уфалей;110000/35000/6000;50
67;Гидроузел;110000/10000;2,5
68;Насосная;110000/6000;16
69;Маук;110000/10000;6,3
70;Яраткулово;110000/10000;12,6
71;Аргаяш;110000/35000/10000;50
72;Кулуево;110000/10000;20
73;Кр.Октябрь;35000/10000;12,6
74;Акбашево;110000/10000;5
75;Губернская;35000/10000;20
76;Дербишево;35000/10000;6,5
77;Бижеляк;35000/10000;5,6
78;Аргази;35000/10000;8
79;Камыши;110000/10000;20
80;Нугуманово;35000/10000;6,5
81;Б.Куяш;35000/10000;5
82;Тахталым;35000/10000;5
83;Н.Бурино;35000/10000;8
84;Дружная;35000/10000;4,1
85;Усть Багаряк;35000/10000;5
86;Тюбук;35000/10000;8
87;Огнево;35000/10000;1,8
88;Береговая;35000/10000;8
89;Багаряк;35000/10000;4,3
90;Ларино;35000/10000;5
91;Булзи;35000/10000;2,5
92;Нязепетровск;110000/35000/10000;50
93;Ункурда;35000/10000;4,3
94;Аптряково;35000/10000;6,5
95;Шемаха;35000/10000;2,5
96;Перевоз;35000/10000;1,6
97;Водозабор;110000/6000;20
98;Подкачка-1;110000/6000;10
99;Подкачка-2;110000/6000;16
100;Подкачка-3;110000/6000;10
101;Александровская;110000/35000/10000;16,3
102;Береговая;110000/10000;12,6
103;Березинская;110000/10000;16,3
104;Бобровская;110000/6000;17,5
105;Большеникольская;35000/10000;12,6
106;Борисовская;110000/10000;12,6
107;Бородиновская;110000/35000/10000;20,3
108;Варненская;110000/35000/10000;41
109;Гончарская;110000/35000/10000;50
110;Горьковская;110000/10000;12,6
111;Демаринская;110000/35000/10000;12,6
112;Дробышевская;110000/10000;12,6
113;Дружба;35000/10000;8
114;Зерновая;35000/10000;8
115;Каракульская;110000/10000;12,6
116;Катенинская;35000/10000;12,6
117;Кичигинская;35000/10000;6,3
118;Кочердыкская;35000/10000;12,6
119;Кочкарь;110000/35000/6000;20
120;Крутоярская;35000/10000;8
121;Кулевченская;35000/10000;12,6
122;Луговская;35000/10000;8
123;Маякская;110000/10000;12,6
124;Николаевская;35000/10000;8
125;Новоеткульская;35000/10000;12,6
126;Новомосковская;35000/10000;8
127;Новотроицкая;110000/35000/10000;16,3
128;Ново-Уральская;35000/10000;5
129;Октябрьская;110000/35000/10000;50
130;Песчаная;110000/35000/10000;20
131;Петровская;35000/10000;10,3
132;Подовинная;110000/35000/10000;41
133;Покровская;35000/10000;8
134;Половинская;35000/10000/6000;6,4
135;Родники;35000/10000;12,6
136;Рождественская;35000/10000;11,9
137;Светлинская;110000/6000;12,6
138;Скалистая;35000/10000;8
139;Спиркина;35000/10000;9,6
140;Станкозаводская;110000/6000;16,3
141;Степная ;110000/10000;6,3
142;Степная ;35000/10000;3,2
143;Строительная;110000/35000/6000;50
144;Тогузак;110000/35000/10000;16,3
145;Толстинская;35000/10000;11,2
146;Троицкая Районная;110000/35000/6000;63
147;Увельская;35000/10000;12,6
148;Углицкая;110000/10000;12,6
149;Уйско-Чебаркульская;35000/10000;4
150;Хомутининская;35000/10000;10,73
151;Хуторская;110000/10000;16,3
152;Целинная;35000/10000;8
153;Чесменская;110000/35000/10000;35
154;Чудиновская;110000/10000;6,3
155;Шантаринская;110000/10000;20
156;Энергетик;35000/6000;11,9
157;Южная;35000/10000;12,6
158;Южноуральская;110000/35000/10000/6000;50
159;Ю.У.рудник;110000/35000/6000;16,3
160;Горная;35000/10000;5,4
161;Первомайская;35000/10000;4
162;МПФ;35000/10000;8
163;Аблязово;35000/10000;1,6
164;МОС;35000/10000;12,6
165;Бреды районная;35000/10000;16,3
166;Могутовка;35000/10000;4
167;Наследницкая;35000/10000;3,2
168;Калининская;35000/10000;6,5
169;Сосновка;35000/10000;5
170;Урляды;35000/10000;5,8
171;Краснинская;35000/10000;9,6
172;Николаевская;35000/10000;2,5
173;Карагайка;35000/10000;5,6
174;Гражданская;35000/6000;5,8
175;ЦРП;35000/6000;12,6
176;Полтавка;35000/10000;5,8
177;ТП-2;35000/10000;1
178;ТП-3;35000/10000;1
179;Сухореченская;35000/10000;4
180;Великопетровка;35000/10000;4
181;Катенино;35000/10000;1,8
182;Новокаменская;35000/10000;1,8
183;Богдановка;35000/10000;8
184;Грязнушенская;35000/10000;3,2
185;Покровка;35000/10000;2,5
186;Балканы;35000/10000;4
187;Остроленко;35000/10000;7,2
188;Париж;35000/10000;4
189;Кассель;35000/10000;8
190;Агаповская;110000/10000;20
191;Буранная;110000/6000;20
192;Магнитная;110000/10000;16,3
193;Янгелька;110000/35000/10000;12,6
194;Рымникская;110000/35000/10000;10
195;Комсомольская;110000/10000;8,8
196;Павловская;110000/35000/10000;10
197;Княженка;110000/10000;6,3
198;Георгиевская;110000/10000;6,3
199;Маякская;110000/10000;6,3
200;Амурская;110000/10000;3,2
201;Атамановка;110000/10000;6,3
202;Верхнеуральская;110000/10000;26
203;Петропавловская;110000/35000/10000;20
204;Спасская;110000/10000;5
205;Сабаново;110000/10000;6,3
206;Степная;110000/10000;12,6
207;Кирса;110000/10000;6,3
208;Еленинская;110000/10000;20
209;Южностепная;110000/35000/10000;10
210;Снежная;110000/35000/10000;12,6
211;Анненская;110000/10000;10
212;Кизил;110000/35000/10000;20
213;Полоцкая;110000/35000/10000;12,6
214;Сыртинка;110000/10000;6,3
215;Измайловская;110000/10000;10
216;Обручевка;110000/10000;6,3
217;Красногвардейская;110000/35000/10000;10
218;Путь Октября;110000/10000;6,3
219;Зингейка;110000/10000;6,3
220;Смородинка;110000/10000;6,3
221;Кацбах;110000/10000;6,3
222;Красная Горка;110000/35000/6000;20
223;Фершампенуаз;110000/35000/10000;26
224;Нагайбакская;110000/10000;6,3
225;Арси;110000/10000;6,3
226;Очистные сооружения;220000/10000/6000;64
227;Масалитинская;110000/6000;50
228;Аэродромная;110000/10000;126
229;Бульварная;110000/10000;50
230;Восточная;110000/35000/6000;80
231;Западная;110000/35000/6000;63
232;Заречная;110000/10000/6000;56
233;Ленинская;35000/10000;40
234;Паклинская;110000/10000;50
235;Новоградская;110000/10000;80
236;Северная;110000/6000;80
237;Сосновская;110000/6000;32
238;Спортивная;110000/10000;80
239;Строммашина;35000/6000;20
240;Тепличная;110000/10000;32
241;Тракторозаводская;110000/10000;50
242;Холодильник;35000/6000;6,4
243;Центральная;35000/6000;20
244;ЧЭРЗ;110000/6000;40
245;Шершнёвская;110000/10000;50
246;Южная;110000/10000/6000;97
247;Сосновская;35000/6000;7,5
248;Подкачная;35000/6000;12,6
249;Массивная;110000/10000;80
250;Гранитная;110000/10000;80
251;Таганай;110000/35000/6000;80
252;Гагаринская;110000/10000;32
253;Швейная;110000/6000;20
254;Арша;110000/10000;6,3
255;ТМР;35000/6000;12,6
256;Железнодорожная;35000/6000;12,6
257;Город;35000/6000;20
258;Сатка;110000/35000/6000;80
259;Боровая;110000/10000;80
260;Бакал;110000/35000/6000;41
261;Айлино;110000/10000;6,3
262;Западная;110000/6000;32
263;Степная;35000/6000;7,2
264;МММЗ;110000/6000;32
265;Первогорская;110000/35000/6000;40
266;Юрюзань;110000/35000/6000;54,07
267;Прибор;110000/10000;20
268;Зареченская;35000/6000;9,3
269;Миасс;110000/35000/6000;80,5
270;Солнечная долина;110000/35000/6000;16
271;Миасс-золото;35000/6000;15,6
272;Ленинская;110000/10000/6000;126
273;Тургояк;110000/10000;20
274;Аппаратная;110000/6000;32
275;Ильменская;110000/10000;20
276;Город-2;110000/6000;50
277;Уйская;110000/35000/10000;26
278;Пионерлагерь;35000/10000;1,8
279;Мирная;35000/10000;10,3
280;Кидыш;110000/10000;12,5
281;Совхозная;35000/10000;4
282;Н.Усцелемово;110000/10000;6,3
283;Зерновая;110000/10000;6,3
284;Ларино;110000/10000;12,6
285;Курортная;110000/10000;20
286;Луговая;110000/10000;80
287;Филимоново;110000/10000;16,3
288;Звягино;110000/10000;6,3
289;Тимирязевская;110000/10000;6,3
290;Опытная;35000/10000;6,3
291;Кундравы;110000/10000;12,6
292;Варламово-110;110000/35000/10000;27,4
293;Варламово-35;35000/10000;3,2
294;Карат;110000/6000;32
295;Краснопольская;110000/10000;80
296;Уралбройлер;110000/10000;32
297;Казачья;110000/10000;126
298;Черноборская;110000/10000;12,6
299;Ключевская;110000/10000;12,6
300;Кособродская;35000/10000;1,8
301;Машзавод;110000/35000/6000;16,3
302;Абзаково;110000/10000;2,5
303;Магнитка;35000/6000;1,8
304;Гидроотвал;35000/6000;3,2
305;Соцгород;35000/6000;20
306;Непряхино;110000/10000;6,3
307;Щебкарьер;35000/400;1
308;Бакалинская;110000/10000;6,3
