Тип (official_short_type);Номер (ref);Напряжение (voltage);Название (name);Трансформаторная мощность, МВА (rating);Год ввода (start_date);Оператор (operator);Филиал (branch)
ПС;;110/6;Староликеево;32;;АО «Транснефть - Верхняя Волга»;Горьковское районное нефтепроводное управление
ПС;;110/6;Старосормовская;63.5;1928;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Центральные ЭС
ПС;;110/6;Стеклозаводская;80;;ОАО «AGC Борский стекольный завод»;
ПС;;110/6;Таремская;12.6;1978;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;110/6;Теплообменник;72;;ЗАО «Энерго Групп»;
ПС;;110/6;Тимирязевская;32;;ОАО «Синтез»;
ПС;;110/6;Толоконцево;15;1961;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Семёновские ЭС
ПС;;110/6;Тумботино;20;1966;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;110/6;Федяково;50;1965;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;110/6;Химмаш;32;;ОАО «Дзержинскхиммаш»;
ПС;;110/6;ЦБК-1;176;;АО «Волга»;
ПС;;110/6;Чермет;31;;ООО «Зефс-Энерго»;
ПС;;110/6;Щербинки;30;;АО «НПП „Салют“»;
ПС;;110/6;Янтарь;32;;ЗАО «Транссетьком-Волга»;
ПС;;110/6;Ясенецкая;20;1976;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;110/27.5/6;Малаховская;41.5;1961;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Балахнинские ЭС
ЭЧЭ;7;110/35/27.5;Сейма-Тяговая;80;;ОАО «РЖД»;ЭЧ-2 Горький
ЭЧЭ;8;110/27.5/6;Сортировочная;105;;ОАО «РЖД»;ЭЧ-2 Горький
ЭЧЭ;9;110/27.5/6;Высоково;63;;ОАО «РЖД»;ЭЧ-2 Горький
ЭЧЭ;10;110/27.5/10;Тарасиха;80;;ОАО «РЖД»;ЭЧ-2 Горький
ЭЧЭ;11;110/35/27.5;Керженец-Тяговая;80;;ОАО «РЖД»;ЭЧ-2 Горький
ЭЧЭ;12;110/35/27.5;Быструха;80;;ОАО «РЖД»;ЭЧ-2 Горький
ЭЧЭ;13;110/27.5/10;Арья-Тяговая;80;;ОАО «РЖД»;ЭЧ-2 Горький
ЭЧЭ;14;110/27.5/10;Шахунья-Тяговая;80;;ОАО «РЖД»;ЭЧ-2 Горький
ЭЧЭ;15;110/27.5/10;Буреполом;80;;ОАО «РЖД»;ЭЧ-2 Горький
ЭЧЭ;51;110/27.5/10;Сергач-Тяговая;141;;ОАО «РЖД»;ЭЧ-12 Арзамас
ЭЧЭ;52;110/27.5;Бобыльская-Тяговая;125;;ОАО «РЖД»;ЭЧ-12 Арзамас
ЭЧЭ;53;110/27.5/10;Мухтолово-Тяговая;141;;ОАО «РЖД»;ЭЧ-5 Муром
ЭЧЭ;58;110/27.5/10;Ройка;40;;ОАО «РЖД»;ЭЧ-2 Горький
ЭЧЭ;59;110/27.5/10;Суроватиха;90;;ОАО «РЖД»;ЭЧ-2 Горький
ГПП;40;110/35/6;;;;АО «Саровская электросетевая компания»;
ГПП;;110/6;Заречная;;;АО «Саровская электросетевая компания»;
ГПП;;110/6;Лесная;;;АО «Саровская электросетевая компания»;
ГПП;1;110/6;Металлургическая;50;;АО «Выксунский металлургический завод»;
ГПП;2;110/6;Прокатная;50;;АО «Выксунский металлургический завод»;
ГПП;3;110/6;Трубная;50;;АО «Выксунский металлургический завод»;
ГПП;4;110/6;Многослойная;80;;АО «Выксунский металлургический завод»;
ГПП;5;110/6;ВМЗ;40;;АО «Выксунский металлургический завод»;
ГПП;6;110;ВМЗ;;2008;АО «Выксунский металлургический завод»;
ГПП;7;110;ВМЗ;;;АО «Выксунский металлургический завод»;
ГПП;1;110/10;ЛПК ОМК;320;;АО «Выксунский металлургический завод»;
ГПП;2;110/10;ЛПК ОМК;160;;АО «Выксунский металлургический завод»;
ГПП;3;35/6;;80;;ООО «Лукойл-Энергосети»;
ГПП;4;110/6;;126;2015;ООО «Лукойл-Энергосети»;
ЦРП;1;35;;;;ООО «Лукойл-Энергосети»;
ЦРП;2;35;;;;ООО «Лукойл-Энергосети»;
ЦРП;3;35/6;;20;;ООО «Лукойл-Энергосети»;
ЦРП;4;35/6;;20;;ООО «Лукойл-Энергосети»;
ЦРП;5;35/6;;20;;ООО «Лукойл-Энергосети»;
ЦРП;6;35/6;;50;;ООО «Лукойл-Энергосети»;
ЦРП;7;35/6;;80;2015;ООО «Лукойл-Энергосети»;
ГПП;101;110/35/6;Южная;80;;ОАО «СИБУР-Нефтехим»;
ГПП;102;110/35/6;Полимер;71.5;;ОАО «СИБУР-Нефтехим»;
ГПП;103;110/35/6;Северная;80;;ОАО «СИБУР-Нефтехим»;
ГПП;104;110/10;Восточная;160;;ОАО «СИБУР-Нефтехим»;
ГПП;1;110/6;Оргстекло;30;;ОАО «Дзержинское оргстекло»;
ГПП;2;110/6;Ворошиловская;50;;ОАО «Дзержинское оргстекло»;
ГПП;1;110/6;Заря;64;;ООО «Зефс-Энерго»;
ГПП;2;110/10/6;Заря;50;;ООО «Зефс-Энерго»;
ГПП;1;110/10;Пластик;30;;АО «ДПО „Пластик“»;
ГПП;2;110/10;Пластик;20;;АО «ДПО „Пластик“»;
ГПП;1;110/6;Синтез;80;;ФКП «Завод имени Я.М. Свердлова»;
ГПП;2;110/6;Синтез;50;;ФКП «Завод имени Я.М. Свердлова»;
ГПП;1;110/10;ЗМЗ;72;;ПАО «Заволжский моторный завод»;
ГПП;2;110/10;ЗМЗ;80;;ПАО «Заволжский моторный завод»;
ПС;15;35/10/6;;3.8;;;
ПС;;35/10/6;Береговая;5.8;1957;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;35/10/6;Рождествено;3.4;1987;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;35/10;Арья;6.3;1980;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Уренские ЭС
ПС;;35/10;Бараново;8;1961;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Южные ЭС
ПС;;35/10;Беловка;4.3;1967;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Сергачские ЭС
ПС;;35/10;Белышево;1.6;1982;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Уренские ЭС
ПС;;35/10;Большое Болдино;8;1982;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Арзамасские ЭС
ПС;;35/10;Большое Мурашкино;17.5;1968;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;35/10;Борремфлот;;;ООО «Волгоэлектросеть»;
ПС;;35/10;Валки;5;1966;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Семёновские ЭС
ПС;;35/10;Васильсурск;1.8;1963;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;35/10;Ветчак;6.5;1956;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;35/10;Вилеж;1.6;1984;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Балахнинские ЭС
ПС;;35/10;Виля;4;2016;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Южные ЭС
ПС;;35/10;ВКХП;20;;ООО «Мукомольный комбинат „Володарский“»;
ПС;;35/10;Водоватово;10.3;1981;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Арзамасские ЭС
ПС;;35/10;Воздвиженская;8;1985;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Семёновские ЭС
ПС;;35/10;Глухово;4.1;1980;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Южные ЭС
ПС;;35/10;Григорово;5;1991;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;35/10;Демидовская;5;1985;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Семёновские ЭС
ПС;;35/10;Елизарьево;8;1959;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Южные ЭС
ПС;;35/10;Запрудное;4.3;1983;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;35/10;Ивановская;2.5;1981;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Семёновские ЭС
ПС;;35/10;Игумново;8;1998;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;35/10;Ильино;12.6;1972;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Дзержинские ЭС
ПС;;35/10;Ильино-Заборская;4;1971;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Семёновские ЭС
ПС;;35/10;Ичалки;5;1986;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Арзамасские ЭС
ПС;;35/10;Каликино;12.6;1989;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Семёновские ЭС
ПС;;35/10;Калинино;9.6;1965;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Уренские ЭС
ПС;;35/10;Каменищи;2.5;1982;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Сергачские ЭС
ПС;;35/10;Каменка;5.8;1954;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Семёновские ЭС
ПС;;35/10/6;Карьер;13.5;1950;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Арзамасские ЭС
ПС;;35/10;Катунская;2.5;1974;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Балахнинские ЭС
ПС;;35/10;Керженец;2.5;1993;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Семёновские ЭС
ПС;;35/10;Козлово;5;1986;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Балахнинские ЭС
ПС;;35/10;Константиново-5;12.6;1956;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;35/10;Кузьмияр;1.8;;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Семёновские ЭС
ПС;;35/10;Куликово;7.2;1988;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;35/10;Лагерная-1;;;АО «Оборонэнерго»;
ПС;;35/10;Лагерная-2;;;АО «Оборонэнерго»;
ПС;;35/10;Лагерная-3;;;АО «Оборонэнерго»;
ПС;;35/10;Лапшанга;3.5;1969;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Семёновские ЭС
ПС;;35/10;Лесной курорт;1.6;1974;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Семёновские ЭС
ПС;;35/10;Лесуново;2.5;1961;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Южные ЭС
ПС;;35/10;Лопатино;2.5;1977;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Сергачские ЭС
ПС;;35/10;Марково;1.6;1982;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Семёновские ЭС
ПС;;35/10;Мухтолово;7.2;1961;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Южные ЭС
ПС;;35/10;Наруксово;6.5;1972;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Арзамасские ЭС
ПС;;35/10;Нарышкино;4.1;1981;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Южные ЭС
ПС;;35/10;НИРФИ;8;1978;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;35/10;Новая;1.6;1980;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Южные ЭС
ПС;;35/10;Новая Слобода;2.5;1960;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Арзамасские ЭС
ПС;;35/10;Новоарзамасская;4;;ООО «Газпром энерго»;
ПС;;35/10;Новодмитриевка;4.1;1957;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Южные ЭС
ПС;;35/10;Новый Усад;5;1971;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Арзамасские ЭС
ПС;;35/10;Носовая;1.6;1983;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Семёновские ЭС
ПС;;35/10;Оранки;4.1;1988;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;35/10;Ошминская;1.6;1975;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Уренские ЭС
ПС;;35/10;Пакали;3.4;1962;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Уренские ЭС
ПС;;35/10;Пеля-Ховань;6.5;1977;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Арзамасские ЭС
ПС;;35/10;Перелаз;2.5;1979;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Семёновские ЭС
ПС;;35/10;Петряксы;13.8;1964;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Сергачские ЭС
ПС;;35/10;Петушиха;3.2;1991;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Семёновские ЭС
ПС;;35/10;Плюхино;5;1990;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Семёновские ЭС
ПС;;35/10;Помра;5.7;1993;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;35/10;Прокошево;5;1974;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;35/10;Пуреховская;8;1967;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Балахнинские ЭС
ПС;;35/10;Пустынь;3.2;1961;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Арзамасские ЭС
ПС;;35/10;Ратово;1.6;;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Сергачские ЭС
ПС;;35/10;Сельхозтехника;8;1975;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;35/10;Сицкая;11.9;1940;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Балахнинские ЭС
ПС;;35/10;Смирново;11.5;1960;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Арзамасские ЭС
ПС;;35/10;Сноведь;1.6;1980;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Южные ЭС
ПС;;35/10;Стёксово;4;1977;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Южные ЭС
ПС;;35/10;Стрелица;3.2;1964;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Уренские ЭС
ПС;;35/10;Сурадеево;2.5;1975;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Сергачские ЭС
ПС;;35/10;Сухоноска;8;1985;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Балахнинские ЭС
ПС;;35/10;Сысуево;1.8;1996;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Семёновские ЭС
ПС;;35/10;Талызино;5;1984;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Сергачские ЭС
ПС;;35/10;Тарасовская;8.8;1969;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Балахнинские ЭС
ПС;;35/10;Теша;8;1962;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Южные ЭС
ПС;;35/10;Тоншаево;7.6;1962;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Уренские ЭС
ПС;;35/10;Ужовка;8;1973;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Арзамасские ЭС
ПС;;35/10;Ужовка-2;8;2011;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Арзамасские ЭС
ПС;;35/10;Узола;5;1986;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Балахнинские ЭС
ПС;;35/10;Уста;5.6;1986;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Уренские ЭС
ПС;;35/10;Ушаково;2.5;1982;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Сергачские ЭС
ПС;;35/10;Хахалы;4;1977;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Семёновские ЭС
ПС;;35/10;Хвощёвка;8.1;1987;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;35/10;Чёрная;1.6;1980;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Уренские ЭС
ПС;;35/10;Чернуха;8;1960;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Арзамасские ЭС
ПС;;35/10;Чернуха;5;;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;35/10;Чернышиха;5;1979;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;35/10;Чистое поле;5;1979;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Семёновские ЭС
ПС;;35/10;Чкаловская;20;;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Балахнинские ЭС
ПС;;35/10;Шайгино;1.6;1983;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Уренские ЭС
ПС;;35/10;Шарапово;5;1976;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Арзамасские ЭС
ПС;;35/10;Югары;3.4;1974;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Семёновские ЭС
ПС;;35/10;Юрьево;2.5;1981;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Сергачские ЭС
ПС;;35/6;40 лет Октября;;;ЗАО «Свет»;
ПС;;35/6;Арефино;;;ООО «СМИ»;
ПС;;35/6;Беляйково;5;1950;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Южные ЭС
ПС;;35/6;Бортсурманы;1.6;1979;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Сергачские ЭС
ПС;;35/6;БОЭМЗ;5.7;1980;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Балахнинские ЭС
ПС;;35/6;Вареж;7.2;1999;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;35/6;Восточная;32;1960;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;35/6;Восход;4;;ООО «ЭМКО»;
ПС;;35/6;Горбатовская;7.2;1981;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;35/6;Гриденинская;5;1979;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Балахнинские ЭС
ПС;;35/6;ДОЗ-2;6.5;2002;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;35/6;Дружба;12.6;1979;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Южные ЭС
ПС;;35/6;Елизарово;8;1969;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Южные ЭС
ПС;;35/6;Западная;32;1956;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;35/6;Красный якорь;1;;;
ПС;;35/6;КПП;;;ООО «Стекло-Люкс»;
ПС;;35/6;Марковская;7.2;1962;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Балахнинские ЭС
ПС;;35/6;МЗ-4 (Мельзавод);3.8;;ООО «Сеймовские мельницы»;
ПС;;35/6;Мокрое;20;1966;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;35/6;Память Парижской Коммуны;5.7;1995;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Семёновские ЭС
ПС;;35/6;ПОМЗ;6.5;;ОАО «Павловский опытно-механический завод»;
ПС;;35/6;Пруды;2.5;;ООО «ЭМКО»;
ПС;;35/6;Родиониха;3.2;1964;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Южные ЭС
ПС;;35/6;Саваслейка;20;1984;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Южные ЭС
ПС;;35/6;СГ-32;1.56;;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Семёновские ЭС
ПС;;35/6;СГ-36;2.8;1951;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Семёновские ЭС
ПС;;35/6;СГ-38;;;ООО «Стекло-Люкс»;
ПС;;35/6;Слизнево;8;1976;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Арзамасские ЭС
ПС;;35/6;Судоверфь;8;;ОАО «Чкаловская судоверфь»;
ПС;;35/6;Ушаково;5;1989;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;35/6;Филинская;8;1967;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Южные ЭС
ПС;;35/6;Фокинская низина-2;1.6;1989;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;35/6;Фролищи;5;1974;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Дзержинские ЭС
ПС;;35/6;Чулково;3.5;1982;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Южные ЭС
ПС;;35/6;Юганец;20;;АО «Оборонэнерго»;
ПС;;35/6;Яковцево;3;1949;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Южные ЭС
ПС;;35/6;Ямново;1.8;;ООО «Волгоэлектросеть»;
ПС;;35/6/0.4;Кстовская;11.63;;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;35/0.4;Гидронамыв-1;1;;ГФУ по обеспечению инженерных защит Чебоксарского водохраналища по Нижегородской области;Курмышский ремонтно-эксплуатационный участок
ПС;;35/0.4;Гидронамыв-2;0.8;;ГФУ по обеспечению инженерных защит Чебоксарского водохраналища по Нижегородской области;Курмышский ремонтно-эксплуатационный участок
ПС;;35/0.4;Гидронамыв-3;;;ГФУ по обеспечению инженерных защит Чебоксарского водохраналища по Нижегородской области;Курмышский ремонтно-эксплуатационный участок
ПС;;35/0.4;Кайск;0.5;;ГУФСИН России по Нижегородской области;
ПС;;35/0.4;Комариха;0.63;;;
ПС;;35/0.4;Метрострой;0.56;;;
ПС;;35/0.4;Мирный;1.68;;ГУФСИН России по Нижегородской области;
ПС;1;35/0.4;Насосные Михайловской низины;;;ГФУ по обеспечению инженерных защит Чебоксарского водохраналища по Нижегородской области;Заречный ремонтно-эксплуатационный участок
ПС;2;35/0.4;Насосные Михайловской низины;;;ГФУ по обеспечению инженерных защит Чебоксарского водохраналища по Нижегородской области;Заречный ремонтно-эксплуатационный участок
ПС;3;35/0.4;Насосные Михайловской низины;;;ГФУ по обеспечению инженерных защит Чебоксарского водохраналища по Нижегородской области;Заречный ремонтно-эксплуатационный участок
ПС;1;35/0.4;Насосные Фокинской низины;0.4;;ГФУ по обеспечению инженерных защит Чебоксарского водохраналища по Нижегородской области;Воротынский ремонтно-эксплуатационный участок
ПС;2;35/0.4;Насосные Фокинской низины;0.4;;ГФУ по обеспечению инженерных защит Чебоксарского водохраналища по Нижегородской области;Воротынский ремонтно-эксплуатационный участок
ПС;3;35/0.4;Насосные Фокинской низины;0.4;;ГФУ по обеспечению инженерных защит Чебоксарского водохраналища по Нижегородской области;Воротынский ремонтно-эксплуатационный участок
ПС;;35/0.4;Постой;0.5;;;
ПС;;35/0.4;Чибирь;0.5;;ГБУЗ НО «Областная психоневрологическая больница №2»;
ПС;;35;Сахарный завод;;;ОАО «Сергачский сахарный завод»;