Оператор;№ ПС/ТП;Наименование;Классы напряжения;Трансформаторы;Установленная мощность, МВА
"""Восточные электрические сети"" АО ""РЭС""";1;Барышевская;110/10;2x25;50
"""Восточные электрические сети"" АО ""РЭС""";2;Бердская;110/10;2x40;80
"""Восточные электрические сети"" АО ""РЭС""";3;Вертковская;110/10;2x40;80
"""Восточные электрические сети"" АО ""РЭС""";4;Воинская;110/10/6;2x25;50
"""Восточные электрические сети"" АО ""РЭС""";5;Волочаевская;110/10;2x16;32
"""Восточные электрические сети"" АО ""РЭС""";6;Вороново;110/10;2x25;50
"""Восточные электрические сети"" АО ""РЭС""";7;Вымпел;110/10/6;2x40;80
"""Восточные электрические сети"" АО ""РЭС""";8;Горская;110/10;2x25;50
"""Восточные электрические сети"" АО ""РЭС""";9;Дзержинская;110/10;2x25;50
"""Восточные электрические сети"" АО ""РЭС""";10;Ельцовская;110/6;1x40, 1x40.5 ;80.5
"""Восточные электрические сети"" АО ""РЭС""";11;Ересная;110/10;2x25;50
"""Восточные электрические сети"" АО ""РЭС""";12;Ефремовская;110/10;2x40;80
"""Восточные электрические сети"" АО ""РЭС""";13;Западная;110/35/10;2x40;80
"""Восточные электрические сети"" АО ""РЭС""";14;Заречная;110/10;2x25;50
"""Восточные электрические сети"" АО ""РЭС""";15;Инская;110/10;2x40;80
"""Восточные электрические сети"" АО ""РЭС""";16;Инструментальная;110/6;2x40;80
"""Восточные электрические сети"" АО ""РЭС""";17;Искитимская (1Т и 2Т) ;110/10/6;2x40;80
"""Восточные электрические сети"" АО ""РЭС""";18;Искитимская (3Т и 4Т) ;110/3;2x15;30
"""Восточные электрические сети"" АО ""РЭС""";19;Кирзаводская;110/10;2x25;50
"""Восточные электрические сети"" АО ""РЭС""";20;Кировская;110/10;2x40;80
"""Восточные электрические сети"" АО ""РЭС""";21;Комсомольская;110/6;2x16;32
"""Восточные электрические сети"" АО ""РЭС""";22;Красногорская;110/10/6;1x40, 1x25 ;65
"""Восточные электрические сети"" АО ""РЭС""";23;Кудряшовская;110/10;2x16;32
"""Восточные электрические сети"" АО ""РЭС""";24;Лазурная;110/6;2x10;20
"""Восточные электрические сети"" АО ""РЭС""";25;Лесная;110/6;2x10;20
"""Восточные электрические сети"" АО ""РЭС""";26;Луговая;110/10;2x16;32
"""Восточные электрические сети"" АО ""РЭС""";27;Мостовая;110/6;2x25;50
"""Восточные электрические сети"" АО ""РЭС""";28;Мочище;110/10;2x40;80
"""Восточные электрические сети"" АО ""РЭС""";29;Мясокомбинатская;110/10/6;2x40;80
"""Восточные электрические сети"" АО ""РЭС""";30;Новая;110/10;2x25;50
"""Восточные электрические сети"" АО ""РЭС""";31;Обская;110/10;2x40;80
"""Восточные электрические сети"" АО ""РЭС""";32;Октябрьская;110/6;2x40;80
"""Восточные электрические сети"" АО ""РЭС""";33;Оловозаводская;110/10;2x63;126
"""Восточные электрические сети"" АО ""РЭС""";34;Пашино;110/10;2x32;64
"""Восточные электрические сети"" АО ""РЭС""";35;Первомайская;110/10;2x25;50
"""Восточные электрические сети"" АО ""РЭС""";36;ПП Библиотечный ;110/10/6;3x40;120
"""Восточные электрические сети"" АО ""РЭС""";37;Сварная;110/10;2x25;50
"""Восточные электрические сети"" АО ""РЭС""";38;Светлая;110/10;2x40;80
"""Восточные электрические сети"" АО ""РЭС""";39;Северная;110/35/6;3x40;120
"""Восточные электрические сети"" АО ""РЭС""";40;Силикатная;110/10;2x16;32
"""Восточные электрические сети"" АО ""РЭС""";41;Солнечная;110/10;2x25;50
"""Восточные электрические сети"" АО ""РЭС""";42;Сосновка;110/10;2x16;32
"""Восточные электрические сети"" АО ""РЭС""";43;Стрелочная;110/6;2x25;50
"""Восточные электрические сети"" АО ""РЭС""";44;Театральная;110/10/6;2x40;80
"""Восточные электрические сети"" АО ""РЭС""";45;Текстильная;110/10;1x40, 1x25 ;65
"""Восточные электрические сети"" АО ""РЭС""";46;Тепловая;110/10/6;2x40;80
"""Восточные электрические сети"" АО ""РЭС""";47;Толмачевская;110/35/10;2x40;80
"""Восточные электрические сети"" АО ""РЭС""";48;Учительская;110/10;2x25;50
"""Восточные электрические сети"" АО ""РЭС""";49;Фрунзенская;110/10;2x40;80
"""Восточные электрические сети"" АО ""РЭС""";50;Центральная;110/10/6;2x40;80
"""Восточные электрические сети"" АО ""РЭС""";51;Челюскинская;110/10;2x40;80
"""Восточные электрические сети"" АО ""РЭС""";52;Электровозная;110/35/6;1x31.5, 1x40 ;71.5
"""Западные электрические сети"" АО ""РЭС""";1;Антоновка;110/35/10;2x6.3;12.6
"""Западные электрические сети"" АО ""РЭС""";2;Бараба;110/10;2x10;20
"""Западные электрические сети"" АО ""РЭС""";3;Биаза;110/10;1x6.3;6.3
"""Западные электрические сети"" АО ""РЭС""";4;Булатово;35/10;1x1.6;1.6
"""Западные электрические сети"" АО ""РЭС""";5;Верх-Ича;35/10;1x7.5, 1x2.5;10
"""Западные электрические сети"" АО ""РЭС""";6;Верх-Каргат;35/10;1x2.5, 1x1.6;4.1
"""Западные электрические сети"" АО ""РЭС""";7;Верх-Красноярка;35/10;1x1.6;1.6
"""Западные электрические сети"" АО ""РЭС""";8;Верх-Урюм;110/10;1x2.5;2.5
"""Западные электрические сети"" АО ""РЭС""";9;Гандичи;35/10;1x3.2, 1x6.3;9.5
"""Западные электрические сети"" АО ""РЭС""";10;Гурманка;110/10;1x2.5;2.5
"""Западные электрические сети"" АО ""РЭС""";11;Здвинская;110/35/10;2x10;20
"""Западные электрические сети"" АО ""РЭС""";12;Зоново;35/10;2x2.5;5
"""Западные электрические сети"" АО ""РЭС""";13;Зюзя;35/10;2x1.6;3.2
"""Западные электрические сети"" АО ""РЭС""";14;Казанцево;35/10;1x2.5;2.5
"""Западные электрические сети"" АО ""РЭС""";15;Кама;35/10;2x1.6;3.2
"""Западные электрические сети"" АО ""РЭС""";16;Карасёво;35/10;2x2.5;5
"""Западные электрические сети"" АО ""РЭС""";17;Куйбышевская;110/10;2x25;50
"""Западные электрические сети"" АО ""РЭС""";18;Кульча;35/10;2x1.6;3.2
"""Западные электрические сети"" АО ""РЭС""";19;Лянино;110/10;2x6.3;12.6
"""Западные электрические сети"" АО ""РЭС""";20;Новодубровка;35/10;1x2.5;2.5
"""Западные электрические сети"" АО ""РЭС""";21;Новотроицк;35/10;1x2.5;2.5
"""Западные электрические сети"" АО ""РЭС""";22;Оленёнок;110/35/10;2x10;20
"""Западные электрические сети"" АО ""РЭС""";23;Орловка;35/10;1x1;1
"""Западные электрические сети"" АО ""РЭС""";24;Отрадное;35/10;1x2.5, 1x1.6;4.1
"""Западные электрические сети"" АО ""РЭС""";25;Петраки;35/10;1x2.5;2.5
"""Западные электрические сети"" АО ""РЭС""";26;Пешково;110/35/10;2x6.3;12.6
"""Западные электрические сети"" АО ""РЭС""";27;Пионерская;110/10;2x2.5;5
"""Западные электрические сети"" АО ""РЭС""";28;Победа;35/10;1x2.5;2.5
"""Западные электрические сети"" АО ""РЭС""";29;Полярная;110/35/10;2x10;20
"""Западные электрические сети"" АО ""РЭС""";30;Раисино;35/10;1x2.5;2.5
"""Западные электрические сети"" АО ""РЭС""";31;Сергино;110/10;2x2.5;5
"""Западные электрические сети"" АО ""РЭС""";32;Совхозная;35/10;1x2.5;2.5
"""Западные электрические сети"" АО ""РЭС""";33;Степная;110/10;1x2.5;2.5
"""Западные электрические сети"" АО ""РЭС""";34;Тандовская;110/35/10;2x6.3;12.6
"""Западные электрические сети"" АО ""РЭС""";35;Таскаево;35/10;1x2.5, 1x3.2;5.7
"""Западные электрические сети"" АО ""РЭС""";36;Чуваши;35/10;1x1.6;1.6
"""Западные электрические сети"" АО ""РЭС""";37;Чумаково;110/35/10;2x6.3;12.6
"""Карасукские электрические сети"" АО ""РЭС""";1;Андреевская;35/10;2x2.5;5
"""Карасукские электрические сети"" АО ""РЭС""";2;Баганская;110/35/10;2x10;20
"""Карасукские электрические сети"" АО ""РЭС""";3;Благовещенская;35/10;1x1;1
"""Карасукские электрические сети"" АО ""РЭС""";4;Васильковская;35/10;1x2.5;2.5
"""Карасукские электрические сети"" АО ""РЭС""";5;Веселовская;110/10;2x2.5;5
"""Карасукские электрические сети"" АО ""РЭС""";6;Знаменская;35/10;1x1.6;1.6
"""Карасукские электрические сети"" АО ""РЭС""";7;Зубковская;110/10;1x2.5, 1x6.3;8.8
"""Карасукские электрические сети"" АО ""РЭС""";8;Ивановская;35/10;2x1.6;3.2
"""Карасукские электрические сети"" АО ""РЭС""";9;Ирбизинская;110/10;2x2.5;5
"""Карасукские электрические сети"" АО ""РЭС""";10;Искра;35/10;1x1.6;1.6
"""Карасукские электрические сети"" АО ""РЭС""";11;Казанакская;35/10;1x1.6;1.6
"""Карасукские электрические сети"" АО ""РЭС""";12;Калиновская;110/10;2x2.5;5
"""Карасукские электрические сети"" АО ""РЭС""";13;Камышинская;110/10;1x2.5;2.5
"""Карасукские электрические сети"" АО ""РЭС""";14;Карасукская;110/10;1x15, 1x16;31
"""Карасукские электрические сети"" АО ""РЭС""";15;Краснозерская;110/35/10;2x16;32
"""Карасукские электрические сети"" АО ""РЭС""";16;Кузган;35/10;2x1.6;3.2
"""Карасукские электрические сети"" АО ""РЭС""";17;Купинская;110/35/10;2x16;32
"""Карасукские электрические сети"" АО ""РЭС""";18;Лобинская;35/10;2x1.6;3.2
"""Карасукские электрические сети"" АО ""РЭС""";19;Лягушинская;35/10;1x1.6, 1x2.5;4.1
"""Карасукские электрические сети"" АО ""РЭС""";20;Метелевская;35/10;1x1.6, 1x1.8;3.4
"""Карасукские электрические сети"" АО ""РЭС""";21;Молодежная;110/10;1x2.5;2.5
"""Карасукские электрические сети"" АО ""РЭС""";22;Морозовская;110/10;1x7.5, 1x10;17.5
"""Карасукские электрические сети"" АО ""РЭС""";23;Невская;35/10;1x1.8;1.8
"""Карасукские электрические сети"" АО ""РЭС""";24;Нива;110/10;2x2.5;5
"""Карасукские электрические сети"" АО ""РЭС""";25;Ореховская;35/10;1x3.2, 1x2.5;5.7
"""Карасукские электрические сети"" АО ""РЭС""";26;Палецкая;35/10;1x4, 1x2.5;6.5
"""Карасукские электрические сети"" АО ""РЭС""";27;Петропавловская;110/10;1x6.3, 1x10;16.3
"""Карасукские электрические сети"" АО ""РЭС""";28;Половинская;35/10;1x3.2, 1x4;7.2
"""Карасукские электрические сети"" АО ""РЭС""";29;Полойская;35/10;2x1.6;3.2
"""Карасукские электрические сети"" АО ""РЭС""";30;Рождественская;35/10;2x1.6;3.2
"""Карасукские электрические сети"" АО ""РЭС""";31;Савкинская;110/10;2x6.3;12.6
"""Карасукские электрические сети"" АО ""РЭС""";32;Спасская;110/35/10;2x10;20
"""Карасукские электрические сети"" АО ""РЭС""";33;Студеновское;35/10;1x1.6, 1x2.5;4.1
"""Карасукские электрические сети"" АО ""РЭС""";34;Хорошинская;110/10;2x2.5;5
"""Карасукские электрические сети"" АО ""РЭС""";35;Целинная;110/10;1x6.3;6.3
"""Карасукские электрические сети"" АО ""РЭС""";36;Чаинская;35/10;1x1.6, 1x2.5;4.1
"""Карасукские электрические сети"" АО ""РЭС""";37;Шилово-Курьинская;110/10;2x2.5;5
"""Приобские электрические сети"" АО ""РЭС""";1;Александровка;35/10;1x2.5, 1x1.6;4.1
"""Приобские электрические сети"" АО ""РЭС""";2;Байкал;35/10;2x2.5;5
"""Приобские электрические сети"" АО ""РЭС""";3;Барлак;35/10;2x6.3;12.6
"""Приобские электрические сети"" АО ""РЭС""";4;Берёзовская;110/35/10;2x16;32
"""Приобские электрические сети"" АО ""РЭС""";5;Боровская;110/10;2x6.3;12.6
"""Приобские электрические сети"" АО ""РЭС""";6;Вассино;35/10;2x4;8
"""Приобские электрические сети"" АО ""РЭС""";7;Верх-Ирмень;110/10;1x10, 1x6.3;16.3
"""Приобские электрические сети"" АО ""РЭС""";8;Верх-Тула;35/10;2x16;32
"""Приобские электрические сети"" АО ""РЭС""";9;Верх-Чик;35/10;1x1, 1x1.6;2.6
"""Приобские электрические сети"" АО ""РЭС""";10;Владимировка;35/10;1x1.6;1.6
"""Приобские электрические сети"" АО ""РЭС""";11;Галинская;110/10;2x6.3;12.6
"""Приобские электрические сети"" АО ""РЭС""";12;Гутово;35/10;2x2.5;5
"""Приобские электрические сети"" АО ""РЭС""";13;Дергаусово;110/35/10;2x10;20
"""Приобские электрические сети"" АО ""РЭС""";14;Дивинка;35/10;1x1;1
"""Приобские электрические сети"" АО ""РЭС""";15;Долгово;35/10;2x1.6;3.2
"""Приобские электрические сети"" АО ""РЭС""";16;Железнодорожная;110/10;2x16;32
"""Приобские электрические сети"" АО ""РЭС""";17;Животновод;110/10;2x16;32
"""Приобские электрические сети"" АО ""РЭС""";18;Зудово;35/10;1x3.2, 1x1.6;4.8
"""Приобские электрические сети"" АО ""РЭС""";19;Камнереченская;110/6;2x10;20
"""Приобские электрические сети"" АО ""РЭС""";20;Киик;35/10;1x2.5, 1x1.8;4.3
"""Приобские электрические сети"" АО ""РЭС""";21;Кирза;110/35/10;2x6.3;12.6
"""Приобские электрические сети"" АО ""РЭС""";22;Красноярская;110/10;2x6.3;12.6
"""Приобские электрические сети"" АО ""РЭС""";23;Кругликово;35/10;2x1;2
"""Приобские электрические сети"" АО ""РЭС""";24;Кунчурук;35/10;2x2.5;5
"""Приобские электрические сети"" АО ""РЭС""";25;Курундус;35/10;1x4, 1x2.5;6.5
"""Приобские электрические сети"" АО ""РЭС""";26;Морская;110/6;2x6.3;12.6
"""Приобские электрические сети"" АО ""РЭС""";27;Моховая;110/35/10;2x16;32
"""Приобские электрические сети"" АО ""РЭС""";28;Новопичуговская;110/10;2x6.3;12.6
"""Приобские электрические сети"" АО ""РЭС""";29;Ордынская;110/35/10;2x25;50
"""Приобские электрические сети"" АО ""РЭС""";30;Петровская;35/10;2x2.5;5
"""Приобские электрические сети"" АО ""РЭС""";31;Плановая;110/10;2x10;20
"""Приобские электрические сети"" АО ""РЭС""";32;Плотниково;110/10;2x10;20
"""Приобские электрические сети"" АО ""РЭС""";33;Пролетарская;110/10;1x2.5, 1x10;12.5
"""Приобские электрические сети"" АО ""РЭС""";34;Роща;35/10;2x1.6;3.2
"""Приобские электрические сети"" АО ""РЭС""";35;Спирино;35/10;2x4;8
