№ п/п;Наименование центра питания;Установленная мощность, МВА;Классы напряжения, кВ
1;ПС 110/35/10 Орловгайская;20;
2;ПС 110/35/6 Каменная Сарма;16.3;
3;ПС 110/10  Городская;36;
4;ПС 110/10 Южная;6.3;
5;ПС 110/10 Липерсталь;6.3;
6;ПС 110/10 Полуденная;3.2;
7;ПС 110/6 Декабрист;6.3;
8;ПС 110/6 Краснянская;6.3;
9;ПС 110/6 Запорожец;2.5;
10;ПС 110/6 Фрегат;6.3;
11;ПС 110/6 Рефлектор;2.5;
12;ПС 110/6 Марьевка;6.3;
13;ПС 110/6 Спартак;6.3;
14;ПС 110/6  31-я Насосная;6.3;
15;ПС 110/6 Красный Боец;6.3;
16;ПС 35/10 Васильевка;5;
17;ПС 35/10 Новорепное;8;
18;ПС 35/10 Чкаловская;4.2;
19;ПС 110/35/10 Дергачевская;26;
20;ПС 110/35/10 Верхазовка;10;
21;ПС 110/10 Демьяс;20;
22;ПС 110/10 Хладобойня;6.3;
23;ПС 110/6 Восточная;6.3;
24;ПС 110/6 ГНС;6.3;
25;ПС 110/6  НСП-2;6.3;
26;ПС 35/10 2-я Пятилетка;1.6;
27;ПС 35/10 Камышовская;2.5;
28;ПС 35/10 Краснорченская;3.2;
29;ПС  35/10 Алтата;4;
30;ПС 35/10 Орошаемая;6.3;
31;ПС 35/10 Северная;2.5;
32;ПС 35/10 Центральная;2.5;
33;ПС 35/10  Октябрьская;2.5;
34;ПС 110/10  Озинская;20;
35;ПС 110/35/10 Урожайная;16.3;
36;ПС 110/35/10 Пигари;6.3;
37;ПС 110/10 Чалыкла;6.3;
38;ПС 110/10  Маяк Революции;6.3;
39;ПС 110/10 Озерская;6.3;
40;ПС 35/10 Молодежная;4;
41;ПС 35/10 Целинная;4;
42;ПС 35/10 Солянка;2.5;
43;ПС 110/35/10 Новоузенская;45;
44;ПС 110/10 Промбаза;16;
45;ПС 110/6 Таловская;6.3;
46;ПС 110/6 Радищева;6.3;
47;ПС 35/10 Горькореченская;4;
48;ПС 35/10 Бессоновская;4;
49;ПС 35/10  Куриловская;4;
50;ПС 35/10 Петропавловка;6.5;
51;ПС 35/10 Дмитриевская;4;
52;ПС 35/10 Пограничная;4;
53;ПС 35/10  Кристалл;2.5;
54;ПС 35/6 Узенная;1.6;
55;ПС 35/6 Путь Ленина;1;
56;ПС 35/6 Большой Лиман;6.3;
57;ПС 35/6 Канал;6.3;
58;ПС 35/0,4 Путь Ильича;1;
59;ПС 35/0,4 Чертанлинская;1;
60;ПС 35/0,4 Новая;1;
61;ПС 110/35/10 Алгайская;18;
62;ПС 110/35/10 Варфоломеевка;16;
63;ПС 110/10 Компрессорная;12.6;
64;ПС 110/10 Монахов;6.3;
65;ПС 110/6 Бурдинская;6.3;
66;ПС 110/10 Луков Кордон;6.3;
67;ПС 35/6 Водохранилище;6.3;
68;ПС 35/6 Дружба;4;
69;ПС Безымянная;12.6;110/10
70;ПС Заводская;16;110/10
71;ПС ПТФ;16.3;110/10
72;ПС Терновка-2;80;110/10
73;ПС Широкополье;6.3;110/10
74;ПС Химическая;80;110/10/10
75;ПС Индустриальная;50;110/10/6
76;ПС Анисовка;50;110/35/6
77;ПС Орошение-1;35;110/35/6
78;ПС Терновка-1;32;110/35/6
79;ПС Гагарина-1;10;110/6
80;ПС Гагарина-2;6.3;110/6
81;ПС Гагарина-3;6.3;110/6
82;ПС К.Маркса;2.5;110/6
83;ПС Коминтерн;16.3;110/6
84;ПС Лесозаводская;32;110/6
85;ПС Новая;32;110/6
86;ПС Орошение-2;12.6;110/6
87;ПС Орошение-3;6.3;110/6
88;ПС Причалы;16.3;110/6
89;ПС Саратовка-1;26;110/6
90;ПС Саратовка-2;10;110/6
91;ПС Саратовка-3;6.3;110/6
92;ПС Саратовка-4;6.3;110/6
93;ПС Саратовка-5;2.5;110/6
94;ПС Совхозная;6.3;110/6
95;ПС Технологическая;20;110/6
96;ПС Энгельсская;50;110/6
97;ПС Южная-4;6.3;110/6
98;ПС Южная-5;6.3;110/6
99;ПС Южная-6;6.3;110/6
100;ПС Южная-8;6.3;110/6
101;ПС Шумейка;25;110/6/10
102;ПС Восток;80;110/6/6
103;ПС Березовка;7.3;35/10
104;ПС Воскресенка;5;35/10
105;ПС Подгорная;4;35/6
106;ПС Узморье;6.5;35/6
107;ПС Бородаевка;80;110/10
108;ПС Заря;6.3;110/10
109;ПС Колос;20;110/10
110;ПС Липовка;6.3;110/10
111;ПС Раскатово;6.3;110/10
112;ПС Водопьяново;32;110/35/10
113;ПС Подлесное;31.3;110/35/10
114;ПС Караман;20;110/35/6
115;ПС Маркс;50;110/35/6
116;ПС Победа;16;110/35/6
117;ПС Семеновка;32;110/35/6
118;ПС 17П;10;110/6
119;ПС Бобровка-1;10;110/6
120;ПС Бобровка-2;16.3;110/6
121;ПС Бобровка-3;10;110/6
122;ПС Бобровка-4;10;110/6
123;ПС Бобровка-5;10;110/6
124;ПС Бобровка-6;10;110/6
125;ПС Филипповка;32;110/6
126;ПС Калинино-2;1.6;35/0,4
127;ПС Калинино-5;2.5;35/0,4
128;ПС Кирово-3;1.6;35/0,4
129;ПС Золотовка;5;35/10
130;ПС Михайловка;6.3;35/10
131;ПС Орловка;10.3;35/10
132;ПС Павловка;3.2;35/10
133;ПС Тельмана;2.5;35/10
134;ПС Фурмановка;1.6;35/10
135;ПС 18П;6.3;35/6
136;ПС Аммиак;20;35/6
137;ПС Андреевка;6.5;35/6
138;ПС Калинино-1;4;35/6
139;ПС Калинино-3;8;35/6
140;ПС Калинино-6;1.6;35/6
141;ПС Каменка;5;35/6
142;ПС Кирово-1;2.5;35/6
143;ПС Кирово-2;2.5;35/6
144;ПС Кирово-4;4;35/6
145;ПС Колхозная-1;1.6;35/6
146;ПС Колхозная-2;4;35/6
147;ПС Колхозная-3;2.5;35/6
148;ПС Кривовская;4;35/6
149;ПС ПНС-2;2.5;35/6
150;ПС ПНС-43;6.3;35/6
151;ПС ПНС-5;5;35/6
152;ПС Польская;4;35/6
153;ПС Прогресс-3;6.3;35/6
154;ПС Фрунзе-1;2.5;35/6
155;ПС Фрунзе-2;2.5;35/6
156;ПС Фрунзе-3;4;35/6
157;ПС Ждановка-3;6.3;110/10
158;ПС Лепехинка;12.6;110/10
159;ПС Сорго;6.3;110/10
160;ПС Красный Кут;45;110/35/10
161;ПС Ждановка-1;6.3;110/6
162;ПС Ждановка-2;6.3;110/6
163;ПС Ахмат;11.9;35/10
164;ПС ГППЗ;4;35/10
165;ПС Карпенка;2.5;35/10
166;ПС Комсомольская;6.4;35/10
167;ПС Красный Октябрь;4;35/10
168;ПС Луч;2.5;35/10
169;ПС Рекорд;4;35/10
170;ПС Щорса;6.5;35/10
171;ПС Мурманская-2;2.5;110/10
172;ПС Ровное;32;110/35/10
173;ПС Тарлыковка;10;110/35/10
174;ПС Мурманская-1;10;110/6
175;ПС Южная ГНС;32;110/6
176;ПС Южная-1;6.3;110/6
177;ПС Южная-3;6.3;110/6
178;ПС Тарлыковка;1;35/0,4
179;ПС Кривой Яр;5;35/10
180;ПС Приволжская;6.5;35/10
181;ПС Дружба;6.3;35/6
182;ПС Лиманная-2;4;35/6
183;ПС Лиманная-3;4;35/6
184;ПС Лиманная-5;1.6;35/6
185;ПС Привольное;4;35/6
186;ПС Учхоз Степное;10.3;35/6
187;ПС Наливная;32;110/35/10
188;ПС Любимово;16;110/35/6
189;ПС Россия;32;110/35/6
190;ПС Степная;32;110/35/6
191;ПС Бобровка-7;6.3;110/6
192;ПС Белопольская;4;35/6
193;ПС БКНС-1;4;35/6
194;ПС БКНС-3;4;35/6
195;ПС Головная-1;6.3;35/6
196;ПС Культура;1.6;35/6
197;ПС Отрогово;12.6;35/6
198;ПС Розовская;4;35/6
199;ПС Советская;6.3;35/6
200;ПС Урбах;4;35/6
201;ПС Еруслан;6.3;110/10
202;ПС Мокроус;16.3;110/10
203;ПС Плес;6.3;110/10
204;ПС Водозабор;1.6;35/10
205;ПС Долина;6.3;35/10
206;ПС Первомайская;4.1;35/10
207;ПС Тамбовка;1.6;35/10
208;ПС Новотулка;12.6;110/10
209;ПС Орошаемая;2.5;110/10
210;ПС Трудовик;6.3;110/10
211;ПС Малый Узень;16.3;110/35/10
212;ПС Питерка-1;26;110/35/10
213;ПС ВИУА;6.3;110/6
214;ПС Питерка-2;2.5;110/6
215;ПС Страна Советов;2.5;110/6
216;ПС Алексашкино;4;35/10
217;ПС Агафоновка;1.6;35/6
218;ПС Солнечная;4;35/6
219;"ПС 110/35/10 кВ ""Янтарная"" ";41;
220;"ПС 110/35/10 кВ ""Кистендей""";10;
221;"ПС 110/10 кВ  ""Балашов-город""";32;
222;"ПС 110/35/10 кВ ""Хопер-110""";50;
223;"ПС 110/10 кВ ""Компрессорная""";160;
224;"ПС 110/35/10 кВ ""Родничок""";12.6;
225;"ПС 110/35/10 кВ ""Соцземледелие""";8.8;
226;"ПС 110/35/10 кВ ""Барки""";6.3;
227;"ПС 110/35/10 кВ ""Пинеровка""";7.9;
228;"ПС 110/35/10 кВ ""Котоврас""";6.3;
229;"ПС 110/35/10 кВ ""Романовка""";17.5;
230;"ПС 110/10 кВ ""Ш.Голицино""";6.3;
231;"ПС 110/10 кВ ""Урусово""";6.3;
232;"ПС 110/35/10 кВ ""Владыкино"" ";10;
233;"ПС 110/35/10 кВ ""Салтыки""";6.3;
234;"ПС 110/10 кВ ""Ртищево-город""";26;
235;"ПС 110/35/10 кВ ""Самойловка""";30;
236;"ПС 110/35/10 кВ ""Турки""";23.5;
237;"ПС 35/10 кВ ""Грачевка""";1.6;
238;"ПС 35/10 кВ ""Летяжевка""";2.5;
239;"ПС 35/10 кВ ""Ивановка""";2.5;
240;"ПС 35/10 кВ ""Новосельская""";3.2;
241;"ПС 35/10 кВ ""Алексеевка""";1.6;
242;"ПС 35/10 кВ ""Репное""";4;
243;"ПС 35/10 кВ ""Первомайская""";2.5;
244;"ПС 35/10 кВ ""Хоперское""";2.5;
245;"ПС 35/10 кВ ""Данилкино""";3.2;
246;"ПС 35/10 кВ ""Ст.Хопер""";7.5;
247;"ПС 35/10 кВ ""Новопокровка""";2.5;
248;"ПС 35/10 кВ ""Барки""";2.5;
249;"ПС 35/10 кВ ""Семеновка""";2.5;
250;"ПС 35/10 кВ ""Быковская""";2.5;
251;"ПС 35/6 кВ ""Пинеровка""";5.6;
252;"ПС 35/10 кВ ""Б.Карай""";4;
253;"ПС 35/10 кВ ""Искра""";4.1;
254;"ПС 35/10 кВ ""У.Щербедино""";2.5;
255;"ПС 35/10 кВ ""Макарово""";7.5;
256;"ПС 35/10 кВ ""Ульяновка""";4;
257;"ПС 35/10 кВ ""Дружба""";2.5;
258;"ПС 35/10 кВ ""Святославка""";5.7;
259;"ПС 35/10 кВ ""Криуша""";2.5;
260;"ПС 35/10 кВ ""Благовещенка""";2.5;
261;"ПС 35/10 кВ ""Красавка""";4;
262;"ПС 35/10 кВ ""Рязанка""";4;
263;"ПС 35/10 кВ ""Каменка""";1.6;
264;"ПС 35/10 кВ ""Студеновка""";2.5;
265;"ПС 35/10 кВ ""Перевесенка""";2.5;
266;"ПС 35/10 кВ ""Корпус""";2.5;
267;ПС 110/35/6 Пугачевская;41;
268;ПС 110/10 Клевенка;6.3;
269;ПС 110/10/6  Арматурная-1;19.5;
270;ПС 110/6 Арматурная-2;6.3;
271;ПС 35/10 Бартеневка;4.2;
272;ПС 110/35/6/10 Березовская;55;
273;ПС 110/35/10 Грачев Куст;16;
274;ПС 35/10 Давыдовка;2.5;
275;ПС 35/10 Журавлиха;3.2;
276;ПС 110/35/10 Знаменская;10;
277;ПС 35/10 Знаменская;5.6;
278;ПС 110/10 Иваниха;10;
279;ПС 110/35/10 Ивантеевская;16;
280;ПС 35/10 Ивантеевская;10;
281;ПС 110/6 Иргиз-1;6.3;
282;ПС 110/6 Иргиз-2;6.3;
283;ПС 35/10/6 Камеликская;4.2;
284;ПС 35/10 Карловка;6.3;
285;ПС 110/35/10 Клинцовская;10;
286;ПС 110/10 Николаевка;6.3;
287;ПС 110/10 Нижняя Покровская;6.3;
288;ПС 35/10 Натальин Яр;4;
289;ПС 35/10 Октябрьская;5;
290;ПС 110/6 Очистные Сооружения;10;
291;ПС 110/35/10 Перелюбская;20;
292;ПС 35/10 Преображенка;5;
293;ПС 110/35/10 Рахмановка;10;
294;ПС 35/10 Селезниха;5;
295;ПС 110/35/10 Солянская;12.5;
296;ПС 110/10 Старая Порубежка;2.5;
297;ПС 110/6 Тургеневка;12.6;
298;ПС 110/35/10 Успенка;8.8;
299;ПС 35/10 Тепловская;4.1;
300;ПС 35/10 КДСЗ;8;
301;ПС 35/10 Грачев Куст;3.4;
302;ПС 110/10 кВ Восточная;50;
303;ПС 110/10 кВ Горяйновка;12.6;
304;ПС 110/10 кВ Горячка;6.3;
305;ПС 110/10 кВ Грачи-3;80;
306;ПС 110/10 кВ Емельяновка;6.3;
307;ПС 110/10 кВ Ивановка ;2.5;
308;ПС 110/10 кВ Линевская;32;
309;ПС 110/10 кВ Натальино;12.6;
310;ПС 110/10 кВ Нижняя Чернавка;8.8;
311;ПС 110/10 кВ Николевка;6.3;
312;ПС 110/10 кВ Сазанлей;31;
313;ПС 110/10 кВ Северная;16;
314;ПС 110/10/6 кВ Дзержинская;80;
315;ПС 110/35/10 кВ Брыковская ;8.8;
316;ПС 110/35/10 кВ Буровка;16;
317;ПС 110/35/10 кВ Быков Отрог;16;
318;ПС 110/35/10 кВ Голованово;50;
319;ПС 110/35/10 кВ Духовницкая;12.6;
320;ПС 110/35/10 кВ Кормежка;20;
321;ПС 110/35/10 кВ Маянга;6.3;
322;ПС 110/35/10 кВ Милорадовка;6.3;
323;ПС 110/35/10 кВ Сенная;16.3;
324;ПС 110/35/10 кВ Черкасская;26;
325;ПС 110/35/10 кВ Шиханы 110;50;
326;ПС 110/35/6 кВ ГНС-2 ПОС;1.6;
327;ПС 110/6 кВ Грачи-2;32;
328;ПС 110/6 кВ Красное Знамя;6.3;
329;ПС 110/6 кВ НС-1 сарканал;16;
330;ПС 110/6 кВ НС-2 Сарканал;25;
331;ПС 110/6 кВ НС-3 Сарканал;25;
332;ПС 110/6 кВ НС-4 Сарканал;25;
333;ПС 110/6 кВ НС-5 Сарканала;25;
334;ПС 110/6 кВ Павловка;10;
335;ПС 110/6 кВ Плавучая;6.3;
336;ПС 110/6 кВ Привет ;10;
337;ПС 220/110 кВ Терешка;125;
338;ПС 35/0,4 кВ Коммунар;1.6;
339;ПС 35/0,4 кВ НС-1 БОС;1;
340;ПС 35/0,4 кВ НС-3 БОС;1.6;
341;ПС 35/0,4 кВ НС-6 БОС;0.63;
342;ПС 35/0,4 кВ Россия;1.6;
343;ПС 35/10 кВ Акатная Маза;1.6;
344;ПС 35/10 кВ Алексеевка;8;
345;ПС 35/10 кВ Березовая Лука;2.5;
346;ПС 35/10 кВ Большой Кушум;4;
347;ПС 35/10 кВ Головинщино ;2.5;
348;ПС 35/10 кВ Дальний;2.5;
349;ПС 35/10 кВ Еланка;4;
350;ПС 35/10 кВ Елшанка;2.5;
351;ПС 35/10 кВ Колояр;4;
352;ПС 35/10 кВ Корнеевка ;4;
353;ПС 35/10 кВ Малая Быковка;4;
354;ПС 35/10 кВ Никольск-Казаково;4;
355;ПС 35/10 кВ Новониколаевка-Комплекс;20;
356;ПС 35/10 кВ ПТФ;5;
357;ПС 35/10 кВ Рукополь;8;
358;ПС 35/10 кВ Сосновая Маза;4;
359;ПС 35/10 кВ Сулак ;2.5;
360;ПС 35/10 кВ Суховка;4;
361;ПС 35/10 кВ Теликовская;1.6;
362;ПС 35/10 кВ Толстовка;4;
363;ПС 35/10 кВ Хвалынская ;20;
364;ПС 35/10 кВ Хлебновка;5.6;
365;ПС 35/10 кВ Широкий Буерак;9.6;
366;ПС 35/10 кВ Шиханы 35;12.6;
367;ПС 35/6 кВ 25 партсъезд;4;
368;ПС 35/6 кВ Вольская городская ;32;
369;ПС 35/6 кВ Головная НС-1 ДОС;4;
370;ПС 35/6 кВ НС-1 ДОС;2.5;
371;ПС 35/6 кВ НС-10 БОС;2.5;
372;ПС 35/6 кВ НС-13 БОС;4;
373;ПС 35/6 кВ НС-2 БОС;1.6;
374;ПС 35/6 кВ НС-20-21;2.5;
375;ПС 35/6 кВ НС-4 БОС;4;
376;ПС 35/6 кВ НС-4а БОС;6.3;
377;ПС 35/6 кВ НС-6 Саркнала;4;
378;ПС 35/6 кВ НС-8 БОС;2.5;
379;ПС 35/6 кВ НС-9 БОС;2.5;
380;ПС 35/6 кВ Свердлова;2.5;
381;ПС 35/6 кВ Терса;8;
382;ПС 35/6 кВ Юлия;4;
383;ПС 110/10 Газовая;160;
384;ПС 110/10 Городская;16;
385;ПС 110/10 Гремячка;5;
386;ПС 110/10 Елшанка-2;80;
387;ПС 110/10 Жасминная;32;
388;ПС 110/10 Жилрайон;80;
389;ПС 110/10 Ленинская;80.5;
390;ПС 110/10 Мирный;32;
391;ПС 110/10 Новозахаркино;2.5;
392;ПС 110/10 Озёрки;12.6;
393;ПС 110/10 Панфилово;6.3;
394;ПС 110/10 Пищевая;50;
395;ПС 110/10 Проммаш;41;
396;ПС 110/10 ПТФ;50;
397;ПС 110/10 Северо-Восточная;61;
398;ПС 110/10 Северо-Западная;80;
399;ПС 110/10 Сосновка;2.5;
400;ПС 110/10 Сосновоборская;2.5;
401;ПС 110/10 Старые Бурасы;6.3;
402;ПС 110/10 Техническая;65;
403;ПС 110/10 Техстекло;80;
404;ПС 110/10/6 Новосоколовогорская;60;
405;ПС 110/35/10 Базарный Карабулак;42;
406;ПС 110/35/10 Балтай;21.3;
407;ПС 110/35/10 Воскресенск;10.6;
408;ПС 110/35/10 Казаковка;20;
409;ПС 110/35/10 Питомник;12.6;
410;ПС 110/35/10 Штурм;16.3;
411;ПС 110/35/6 Агрегатная;80;
412;ПС 110/35/6 Кировская;126;
413;ПС 110/35/6 Петровск;127;
414;ПС 110/35/6 Сторожовка;80;
415;ПС 110/6 ГПЗ;80;
416;ПС 110/6 Гусёлка;31;
417;ПС 110/6 Западная;80;
418;ПС 110/6 Затон;50;
419;ПС 110/6 Мельзаводская;50;
420;ПС 110/6 Промышленная;72.5;
421;ПС 110/6 Раховская;80;
422;ПС 110/6 Сеча;50;
423;ПС 110/6 Станок;32;
424;ПС 35/10 Барнуковка;4;
425;ПС 35/10 Ивановка;4;
426;ПС 35/10 Кристалл;1;
427;ПС 35/10 Куриловка;4;
428;ПС 35/10 Лесная Неёловка;10.3;
429;ПС 35/10 Липовка;9;
430;ПС 35/10 Новые Бурасы;11.9;
431;ПС 35/10 Ножкино;2.5;
432;ПС 35/10 Приволжская;4;
433;ПС 35/10 Северная;6.5;
434;ПС 35/10 Хватовка;3.2;
435;ПС 35/10 Чернышёвка;8;
436;ПС 35/10/6 Кошели;3.5;
437;ПС 35/10/6 Чардым;6.5;
438;ПС 35/6 Александровка;2.5;
439;ПС 35/6 Букатовка;4;
440;ПС 35/6 ДОК;32;
441;ПС 35/6 Екатериновка;6.3;
442;ПС 35/6 ТЭЦ-5;10;
443;ПС 35/6 Университетская;32;
444;ПС  Тарханы ;12.6;
445;ПС  Дубки;41;
446;ПС  Г Н П С ;20;
447;ПС  П. Умет-1 ;32;
448;ПС  Песчаный Умет-2;80;
449;ПС  Новая Липовка ;6.3;
450;ПС  Зоринская ;12.6;
451;ПС  Вязовочка ;6.3;
452;ПС  Аэропорт ;32;
453;ПС Мост ;20;
454;ПС Кр.Текстильщик ;2.5;
455;ПС  Увек ;8;
456;ПС  Кирпичная ;20;
457;ПС  Михайловка ;8;
458;ПС Тепличная ;8;
459;ПС Сергиевская ;4;
460;ПС Сосновка;4;
461;ПС  Хмелевка ;6.5;
462;ПС  БНС ТЭЦ-2 ;8;
463;ПС  Широкий Буерак;4;
464;ПС  Лысые Горы ;20;
465;ПС  Яблочная ;2.5;
466;ПС  Ш. Карамыш ;2.5;
467;ПС  Большие Копены ;1.6;
468;ПС  Юнгеровка ;4;
469;ПС  Липовка  ;2;
470;ПС  Шаховская ;2.5;
471;ПС  Петропавловка ;4;
472;ПС  Калининск ;26;
473;ПС  Баланда ;50;
474;ПС  Казачка ;20;
475;ПС  Александровка-3;5;
476;ПС  Свердлово ;6.5;
477;ПС  Симоновка ;3.5;
478;ПС  Чихачевка ;2.5;
479;ПС  Ахтуба ;5;
480;ПС  Райма ;2.5;
481;ПС  Победа ;2.5;
482;ПС  Круглое ;4;
483;ПС  Красноармейск ;32;
484;ПС  Луганск ;22.3;
485;ПС  Паницкая ;20;
486;ПС  НПС-1 ;20;
487;ПС  НПС-2 ;80;
488;ПС  Литейная ;8.8;
489;ПС Каменка ;2.5;
490;ПС  ГПП-Сельмаш ;80;
492;ПС  Золотое ;4;
493;ПС  Сплавнуха ;2.5;
494;ПС  НС-1;4;
495;ПС  Чкалово ;5.6;
496;ПС  Ахмат     ;4;
497;ПС Бобровка ;4;
498;ПС  Мордовое ;8;
499;ПС  Кологривовка ;22.3;
500;ПС  Вязовка ;16.3;
501;ПС  Татищево;6.5;
502;ПС  Татищево;41;
503;ПС  Окт.Городок ;8;
504;ПС  Б.Ивановка ;5;
505;ПС  Широкое ;2.5;
506;ПС  Лопуховка ;8.8;
507;ПС  Елизаветино ;2.5;
508;ПС  Муммовка ;2.5;
509;ПС  Вяжля ;7.2;
510;ПС  Даниловка ;1.6;
511;ПС   Берёзовка;2.5;
512;ПС  Екатериновка ;20;
513;ПС  Бакуры ;10;
514;ПС  Бакуры;5.6;
515;ПС  Колено ;1.8;
516;ПС  Галахово ;2.5;
